Tipo de servicio;Área del servicio;Categoria padre;Categoria Hijo;Sintoma / Detalle;Prioridad;SLA /ANS (Min);Recepción del caso;Pruebas de descartes;Escalamiento 1;Escalamiento 2;¿Susceptible de cierre en mesa?;Observaciones
Solicitud;Aplicaciones de negocio;CEGID;Generar permisos de punteo con contraseña;CEGID.Generar permisos de punteo con contraseña;SLA ALTO;240;Mesa de ayuda;I-6109-41-Instructivo Creación de Nuevo Cargo en Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Devolución de prendas en préstamo;CEGID.Devolución de prendas en préstamo;SLA ALTO;240;Mesa de ayuda;I-6109-48-Instructivo Devolución de Prendas en Préstamo;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Reporte de clientes con crédito - Mes de cumpleaños;CEGID.Reporte de clientes con crédito - Mes de cumpleaños;SLA ALTO;240;Mesa de ayuda;I-6109-49-Instructivo Reporte Clientes Crédito Mes de Cumpleaños;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Modificar información de tienda en factura;CEGID.Modificar información de tienda en factura;SLA ALTO;240;Mesa de ayuda;I-6109-51-Instructivo Modificar Información de Tienda en Factura;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Agregar flete a factura;CEGID.Agregar flete a factura;SLA ALTO;240;Mesa de ayuda;I-6109-52-Instructivo Agregar Flete a la Factura;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Devolución de crédito empleado;CEGID.Devolución de crédito empleado;SLA ALTO;240;Mesa de ayuda;I-6109-66-Instructivo Devolución de Crédito Empleado;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Carga de PLU en NumRot;CEGID.Carga de PLU en NumRot;SLA ALTO;240;Mesa de ayuda;I-6109-67-Instructivo Carga de PLU en NumRot;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Retiro de personal en tienda;CEGID.Retiro de personal en tienda;SLA ALTO;240;Mesa de ayuda;I-6109-69-Instructivo Retiro de Personal de Tiendas;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Imprimir políticas de privacidad;CEGID.Imprimir políticas de privacidad;SLA ALTO;240;Mesa de ayuda;I-6109-77-Instructivo Imprimir Políticas de Privacidad;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Permisos de Conceptos y Medios de Pago;CEGID.Permisos de Conceptos y Medios de Pago;SLA ALTO;240;Mesa de ayuda;I-6109-78-Instructivo Permisos de Conceptos y Medios de Pago;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Instalar TAXBOX;CEGID.Instalar TAXBOX;SLA ALTO;240;Mesa de ayuda;I-6109-53-Instructivo Instalar Taxbox;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Instalar CEGID;CEGID.Instalar CEGID;SLA ALTO;240;Mesa de ayuda;I-6109-71-Instructivo Instalar CEGID;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Asesoría / Acompañamiento;CEGID.Asesoría / Acompañamiento;SLA ALTO;240;Mesa de ayuda;;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Modificar concepto de factura;CEGID.Modificar concepto de factura;SLA ALTO;240;Mesa de ayuda;I-6109-24-Instructivo Modificar Concepto de Factura;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Eliminar nota crédito;CEGID.Eliminar nota crédito;SLA ALTO;240;Mesa de ayuda;I-6109-25-Instructivo Eliminar Nota Crédito;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Reimpresión de albarán;CEGID.Reimpresión de albarán;SLA ALTO;240;Mesa de ayuda;I-6109-23-Instructivo Reimprimir Albaran;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Eliminar asesor;CEGID.Eliminar asesor;SLA ALTO;240;Mesa de ayuda;I-6109-21-Instructivo Eliminar Asesor;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cambiar cédula cliente ;CEGID.Cambiar cédula cliente ;SLA ALTO;240;Mesa de ayuda;Se debe realizar la devolución de ticket e indicar a la asesora que debe de facturar con la cédula correcta del cliente;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Precios en cero;CEGID.Precios en cero;SLA ALTO;240;Mesa de ayuda;Tranferir a silvia Benitez;Juan Diego Mercado - Analista de aplicaciones;Proveedor;NO;
Solicitud;Aplicaciones de negocio;CEGID;Generar presupuesto del mes;CEGID.Generar presupuesto del mes;SLA ALTO;240;Mesa de ayuda;I-6109-20-Instructivo Abrir Presupuesto del Mes;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cambio de cargo;CEGID.Cambio de cargo;SLA ALTO;240;Mesa de ayuda;I-6109-13-Instructivo Cambio de Cargo en Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Modificación de medio de pago;CEGID.Modificación de medio de pago;SLA ALTO;240;Mesa de ayuda;Este tipo de casos solo APLICA cuando se realiza el cambio medio de pago de efectivo a crédito se hace una devolución de ticket (VER I-6109-17-Instructivo Devolución de Ticket), para los demás escenario se le debe indicar a la asesora de la tienda que debe reportar su petición al correo electrónico de contabilidad@stop.com.co;contabilidad@stop.com.co;"Camilo Florian 
Santiago Montes";NO;
Solicitud;Aplicaciones de negocio;CEGID;Creación de huella;CEGID.Creación de huella;SLA ALTO;240;Mesa de ayuda;I-6109-15-Instructivo Creación de Huella;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Reimpresión de Z;CEGID.Reimpresión de Z;SLA ALTO;240;Mesa de ayuda;I-6109-12-Instructivo Reimpresión de Z;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Eliminar reserva cliente ;CEGID.Eliminar reserva cliente ;SLA ALTO;240;Mesa de ayuda;I-6109-10-Instructivo Eliminar Reserva Cliente;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cargar notas de entrega ;CEGID.Cargar notas de entrega ;SLA ALTO;240;Mesa de ayuda;I-6109-85-Instructivo Cargar Nota de Entrega;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Eliminar documento transferencia ;CEGID.Eliminar documento transferencia ;SLA ALTO;240;Mesa de ayuda;I-6109-14-Instructivo Eliminar Docuemento de Transferencia;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Eliminar documento de recepción;CEGID.Eliminar documento de recepción;SLA ALTO;240;Mesa de ayuda;I-6109-18-Instructivo Eliminar Documento de Recepción;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cambio Concepto Caja Menor;CEGID.Cambio Concepto Caja Menor;SLA ALTO;240;Mesa de ayuda;I-6109-19-Instructivo Cambio Concepto Caja Menor;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Actualizar cliente;CEGID.Actualizar cliente;SLA ALTO;240;Mesa de ayuda;I-6109-09-Instructivo Actualizar Cliente;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Entrada extraordinaria;CEGID.Entrada extraordinaria;SLA ALTO;240;Mesa de ayuda;I-6109-016-Instructivo Entrada Extraordinarias;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Modificar vendedor;CEGID.Modificar vendedor;SLA ALTO;240;Mesa de ayuda;I-6109-07-Instructivo Modificar Vendedor;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Forzar punteo;CEGID.Forzar punteo;SLA ALTO;240;Mesa de ayuda;I-6109-08-Instructivo Forzar Punteo;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Devolución de ticket;CEGID.Devolución de ticket;SLA ALTO;240;Mesa de ayuda;I-6109-17-Instructivo Devolución de Ticket;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Crear usuario;CEGID.Crear usuario;SLA ALTO;240;Mesa de ayuda;I-6109-03-Instructivo Crear Usuario en CEGID;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Traslado de personal;CEGID.Traslado de personal;SLA ALTO;240;Mesa de ayuda;I-6109-04-Instructivo Traslado de Personal de Tienda;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Aplicar descuento en agotamiento;CEGID.Aplicar descuento en agotamiento;SLA ALTO;240;Mesa de ayuda;I-6109-05-Instructivo Aplicar Descuento en Agotamiento;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cambio de cliente generico a real;CEGID.Cambio de cliente generico a real;SLA ALTO;240;Mesa de ayuda;I-6109-06-Instructivo Cambio de Cliente Generico a Real;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Cambiar tienda a control de inventario ;CEGID.Cambiar tienda a control de inventario ;SLA ALTO;240;Mesa de ayuda;I-6109-22-Instructivo Cambiar Tienda a Control de Inventario;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Restablecer contraseña;CEGID.Restablecer contraseña;SLA ALTO;240;Mesa de ayuda;;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Solicitud;Aplicaciones de negocio;CEGID;Diferencia en cierre de caja;CEGID.Diferencia en cierre de caja;SLA ALTO;240;Mesa de ayuda;Reportar a su analista contable o enviar correo con el reporte a contabilidad@stop.com.co;contabilidad@stop.com.co;"Camilo Florian 
Santiago Montes";NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de fecha ;STOPING.Cambio de fecha ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio ;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de Grupo contable ;STOPING.Cambio de Grupo contable ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de factura ;STOPING.Cambio de factura ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de Precios ;STOPING.Cambio de Precios ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de mes ;STOPING.Cambio de mes ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Traslado de OP (Orden de producción);STOPING.Traslado de OP (Orden de producción);SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Ingresar fecha de envío ;STOPING.Ingresar fecha de envío ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Quitar fecha de envío ;STOPING.Quitar fecha de envío ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Habilitar OP (Orden de producción);STOPING.Habilitar OP (Orden de producción);SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Habilitar OT (Orden de trabajo);STOPING.Habilitar OT (Orden de trabajo);SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de consecutivo ;STOPING.Cambio de consecutivo ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Eliminar Plus dobles ;STOPING.Eliminar Plus dobles ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de Talla - Retallado ;STOPING.Cambio de Talla - Retallado ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Abrir OC (Orden compra);STOPING.Abrir OC (Orden compra);SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Crear Usuario Stoping ;STOPING.Crear Usuario Stoping ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de Fecha OC (Orden de compra);STOPING.Cambio de Fecha OC (Orden de compra);SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Reporte de telas mensuales ;STOPING.Reporte de telas mensuales ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Asesoría / Acompañamiento;STOPING.Asesoría / Acompañamiento;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de Referencia ;STOPING.Cambio de Referencia ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de asesora;STOPING.Cambio de asesora;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de trimestre ;STOPING.Cambio de trimestre ;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Solicitud;Aplicaciones de negocio;STOPING;Cambio de nit;STOPING.Cambio de nit;SLA ALTO;240;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Incidente;Aplicaciones de negocio;STOPING;Indisponibilidad del servicio;STOPING.Indisponibilidad del servicio;SLA ALTO;60;Mesa de ayuda;;Soporte en sitio;Juan Esteban Gutiérrez;NO;
Incidente;Aplicaciones de negocio;Tarejta recaudo;Pérdida o daño de la tarjeta recauda;Tarejta recaudo.Pérdida o daño de la tarjeta recauda;SLA ALTO;60;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Incidente;Aplicaciones de negocio;Medios de pago - Bonos Big pass;No funciona QR;Medios de pago - Bonos Big pass.No funciona QR;SLA CRÍTICO;30;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Incidente;Aplicaciones de negocio;Medios de pago - Bonos Big pass;Cargue de información de otra tienda;Medios de pago - Bonos Big pass.Cargue de información de otra tienda;SLA CRÍTICO;30;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Incidente;Aplicaciones de negocio;Medios de pago - Bonos Big pass;Transacción fallida - Datafono;Medios de pago - Bonos Big pass.Transacción fallida - Datafono;SLA CRÍTICO;30;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Solicitud;Aplicaciones de negocio;Medios de pago - Bonos Big pass;No se genera voucher;Medios de pago - Bonos Big pass.No se genera voucher;SLA ALTO;240;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Solicitud;Aplicaciones de negocio;Medios de pago - Bonos Sodexo Convexo;Instalación de aplicación;Medios de pago - Bonos Sodexo Convexo.Instalación de aplicación;SLA ALTO;240;Mesa de ayuda;;Mesa de ayuda;Juan José Agudelo;SI;
Solicitud;Aplicaciones de negocio;Medios de pago - Bonos Sodexo Convexo;Restablecer contraseña;Medios de pago - Bonos Sodexo Convexo.Restablecer contraseña;SLA ALTO;240;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Solicitud;Aplicaciones de negocio;Medios de pago - Bonos Sodexo Convexo;Bloqueo de usuario;Medios de pago - Bonos Sodexo Convexo.Bloqueo de usuario;SLA ALTO;240;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Solicitud;Aplicaciones de negocio;Medios de pago - Bonos Sodexo Convexo;Crear usuario;Medios de pago - Bonos Sodexo Convexo.Crear usuario;SLA ALTO;240;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
Solicitud;Aplicaciones de negocio;JAVA;Instalar JAVA y QZ;JAVA.Instalar JAVA y QZ;SLA ALTO;240;Mesa de ayuda;I-6109-63-Instructivo Instalación de Java y QZ en Equipos;Mesa de ayuda;Juan José Agudelo;SI;
Solicitud;Aplicaciones de negocio;WORKMANAGER;Gestionar acceso a la aplicación;WORKMANAGER.Gestionar acceso a la aplicación;SLA MEDIO;360;Mesa de ayuda;Para permisos en WorkManager envíar correo a Sara Sánchez Moreno ssanchez@stop.com.co;Sara Sanchez Moreno - ssanchez@stop.com.co;Ervin Arley Caro;NO;
Solicitud;Aplicaciones de negocio;Portal de procesos;Crear usuario;Portal de procesos.Crear usuario;SLA ALTO;240;Mesa de ayuda;I-6109-38-Instructivo Crear Usuario y Permisos Proceso;Mesa de ayuda;Julian Alzate - Desarrollador;SI;
Solicitud;Aplicaciones de negocio;Portal de procesos;Cargar nota de entrega de bolsas;Portal de procesos.Cargar nota de entrega de bolsas;SLA ALTO;240;Mesa de ayuda;I-6109-56-Instructivo Cargar Nota de Entrega de Bolsas;Mesa de ayuda;Juan Diego Mercado;SI;
Solicitud;Aplicaciones de negocio;Portal de procesos;Reimpresión de factura electrónica;Portal de procesos.Reimpresión de factura electrónica;SLA ALTO;240;Mesa de ayuda;I-6109-61-Instructivo Reimpresión de Factura Electrónica;Mesa de ayuda;Julian Alzate - Desarrollador;SI;
Solicitud;Aplicaciones de negocio;Portal de procesos;Gestión de permisos;Portal de procesos.Gestión de permisos;SLA ALTO;240;Mesa de ayuda;I-6109-38-Instructivo Crear Usuario y Permisos Proceso;Mesa de ayuda;Julian Alzate - Desarrollador;SI;
Incidente;Aplicaciones de negocio;Portal de procesos;No cargan ventas de CEGID;Portal de procesos.No cargan ventas de CEGID;SLA CRÍTICO;30;Mesa de ayuda;;Carlos Bustamante - Analista BI;Alexandra Beltran;NO;
Incidente;Aplicaciones de negocio;Portal de procesos;Error Procesos ;Portal de procesos.Error Procesos ;SLA CRÍTICO;30;Mesa de ayuda;I-6109-47-Instructivo Error Procesos;Mesa de ayuda;Julian Alzate - Desarrollador;SI;
Incidente;Aplicaciones de negocio;Intranet;Sin acceso a la herramienta;Intranet.Sin acceso a la herramienta;SLA BAJO;480;Mesa de ayuda;;Mesa de ayuda;N/A;SI;
Incidente;Aplicaciones de negocio;Intranet;Fallas de autenticación;Intranet.Fallas de autenticación;SLA BAJO;480;Mesa de ayuda;;Mesa de ayuda;N/A;SI;
Solicitud;Aplicaciones de negocio;Intranet;Crear usuario;Intranet.Crear usuario;SLA BAJO;480;Mesa de ayuda;I-6109-30- Instructivo Crear Usuario Intranet;Mesa de ayuda;N/A;SI;
Solicitud;Aplicaciones de negocio;Intranet;Gestión de permisos;Intranet.Gestión de permisos;SLA BAJO;480;Mesa de ayuda;I-6109-31-Intructivo Permisos Intranet;Mesa de ayuda;N/A;SI;
Solicitud;Aplicaciones de negocio;Crédito;Modificar datos de clientes - Kaiowa;Crédito.Modificar datos de clientes - Kaiowa;SLA ALTO;240;Mesa de ayuda;Enviar correo a Lina Gaviria lgaviria@stop.com.co  o Tatiana Alzate talzate@stop.com.co;Lina Gaviria - Auxiliar de créditos;Proveedor;NO;
Solicitud;Aplicaciones de negocio;Crédito;Anular abono - Kaiowa;Crédito.Anular abono - Kaiowa;SLA ALTO;240;Mesa de ayuda;"*Si el crédito o abono es del mismo día la asesora puede eliminar el crédito en Kaiowa y volverlo a realizar 
*Si el crédito o abono es de días posteriores la asesora de tienda debe enviar el correo a centrodeservicios@stop.com.co para que el agente de mesa de ayuda pueda enviarlo a  servicioalcliente@kaiowa.co solicitando la eliminación del crédito o abono, una vez Kaiowa le de respuesta al agenda de mesa de ayuda se debe realizar la devolución en Cegid, poner en contacto con la asesora de tienda para que ella pueda realizar de nuevo el proceso ya sea de crédito o abono.";Mesa de ayuda;PROVEEDOR;SI;
Solicitud;Aplicaciones de negocio;Crédito;Confirmación de abonos por PSE ;Crédito.Confirmación de abonos por PSE ;SLA ALTO;240;Mesa de ayuda;;tesoreria@stop.com.co;;NO;
